Question,Final URL,Topics,Answer Text
The citation I have for an article might not be correct. What do I do now?,https://askalibrarian.asu.edu/faq/223788,None,"If searching the internet doesn't help you discover the correct citation... Here are a few things to try within our library systems: Make sure you are signed in to the library (top right corner of the library home page ). Near the center of the home page, choose one of the following options from the drop down list to the right of the large search bar: One Search Then type or paste the title of the article into the search bar. Click SEARCH. If your article is not in the first few results, try a different method. Google Scholar Then type or paste the title of the article into the search bar. Click SEARCH. If your article is not in the first few results, try a different method. Journal Title Then type or paste the name of the journal into the search bar. Click SEARCH. Select the result, if any, for the online version of the journal. If there is a link to the publisher's website , click down the list in the following order until you get to the Table of Contents at the Issue level: Year Volume Issue Look through the Table of Contents listing in page number order. Note: The article you need may actually fall within the pages of a different article. This happens frequently with book reviews!! Open the full text and look for the starting page of your article, just in case it is actually within another article! Another way to search for the correct citation... On the library home page, scroll down and click the View Resources icon. In the drop down list, choose: Web of Science Try the Cited Reference Search Try last name of the Author and the name of the Journal Note: Web of Science indexes the reference lists from articles in various journals and books, but it does NOT check to see if the citations are correct! So... If you find variations of the citation, the correct one usually has the highest citation count! The others typically have a mistake in one or more of the following: year, volume, issue and/or page number. If you need help, try our Ask a Librarian services!"
Technical support...details that help us troubleshoot your technical issues...,https://askalibrarian.asu.edu/faq/230867,None,"When submitting a ticket about a technical problem with ASU Library resources , please include as much detail as possible. The following information is especially helpful: Are you at home, at work, or on campus when the difficulty occurs? Are you logged into your ASUrite account? What Operating System are you using? (Windows 8, macOS 10.12, etc.) What Browser and Version Number are you using? (Internet Explorer 11, Firefox 52.2.1esr, etc.) Description of the steps you followed and at which screen the problem or error message appeared What is the URL (http://...) at the point of the error? Exact wording of any error messages Any screenshots that you may think would be helpful A telephone number where you may be reached during business hours In the meantime, here are a few things to try: Switch to a different browser (one may work better than another for a particular database or application: Firefox, Chrome, Internet Explorer, etc.) If you are coming in through MyASU, try starting from the library home page https://lib.asu.edu and then make sure you are signed in at the top right corner of the library page."
Where can I find a permanent link to an item I found in One Search?,https://askalibrarian.asu.edu/faq/224741,None,"To find the persistent URL or permalink for a record you found in One Search... In the short display The short display is usually part of your results list as a numbered item (such as the number 3 item in your results list). Along the top right of the short display for the record, look for and click the three dots icon (...). In the resulting list of action options, click on ""permalink"" to display a URL that you can copy and paste for future use . In the full record display From the short record in the results list, click the title of the item until you find the longer full record for the item.  If there were multiple formats listed in the short record, you may need to click on the title in the new numbered list of short records, and then click on the title of an item to get to the full record! Look for the ""Send to"" section of the record to find the permalink. Then click on ""permalink"" to display a URL that you can copy and paste for future use."
What is the web address (URL) for the ASU Library Catalog?,https://askalibrarian.asu.edu/faq/177470,None,"From either of these URL locations, use the large search box's dropdown to select : ASU Library Catalog https://search.lib.asu.edu https://lib.asu.edu"
Is there a way to search by an exact year within One Search?,https://askalibrarian.asu.edu/faq/195096,None,"Yes, you can search by exact year! Go to the ASU Library home page If you are a current ASU student, faculty or staff, Sign In at the top right corner of the library home page; this will give you more retrieval and full text options. Try our library's One Search : Enter keywords, title or author and click: Search On the results page, use the filters (on the right side of the page) to limit to a particular date range under: Publication Date Try our Advanced Search: Just below and to the right of the One Search bar, click: Advanced Search Use the Publication Date drop down on the bottom right side of the form to select: Any year specific date Last year Last 2 years Last 5 years Last 10 years Last 20 years"
I need an award winning children's book! How can I find one?,https://askalibrarian.asu.edu/faq/205085,None,"Need an award winning Children's or Young Adult book? To identify award-winning children’s books... Search: Database of Award Winning Children's Literature It is searchable by: Award Author, Illustrator Age of reader Language Topic, Historical period Type of book (picture, chapter, etc.). To see if we have a copy: Strategy #1: Search the library's One Search or ASU Library Catalog . Start at lib.asu.edu Note: Try searching by the title of the book! Strategy #2: Search in One Search for ""Caldecott"" or ""Newberry"" Using the ""Active Filters"" select ""Children and Young Adult"" from the ""Collection"" heading Need more info about this topic? Our librarians have designed the Children’s & Young Adult Literature library guide to help you!"
What is plagiarism and how can I prevent it?,https://askalibrarian.asu.edu/faq/196899,None,Take a look at our library guide search results on Academic Integrity . It includes valuable information plus links to additional resources to help you! We also have tutorials about these topics: Academic Integrity Plagiarism Awareness
How do I decide which keywords to use for my search?,https://askalibrarian.asu.edu/faq/196938,None,Need to learn how to create and use keywords for your searches? Here is a tutorial designed by our experts to get you started... Tutorial: Using keywords and search connectors We have more tutorials to help you! Tutorials web page
How do I develop a research question?,https://askalibrarian.asu.edu/faq/195737,None,Need to learn how to develop a research question? Here is a tutorial designed by our experts to get you started... Tutorial: Developing a research question We have more tutorials to help you! Tutorials web page
ASU Budget and ASU Salary,https://askalibrarian.asu.edu/faq/268746,None,"ASU Salary data online AZ Data Central's Arizona government salary database is available on the AZ Central news website. This includes salaries for Arizona public employees, including community colleges and the three state universities - ASU, NAU, UA - for 2018. Their 2019 update is only available to their subscribers. ASU Salary information (starting from 2012) can also be found at the State Press website. ASU Salary books Printed copies are no longer published. Existing print copies are listed in the Library Catalog. Titles vary. Locations are typically High Density Storage Collection (HDC) - Stacks OR High Density Storage Collection (HDC) - Archival Collections. Requesting access to printed copies... Request copies from High Density Storage Collection (HDC) - Stacks In-house use. These may also be available for 7-day checkout to current ASU faculty, staff or students. Request copies from High Density Storage Collection (HDC) - Archival Collections through the Ask An Archivist form online for in-house use by appointment. For previous years, check each catalog record for ""earlier title"" listing. Then search catalog by the earlier title. Request HDC Stacks copy, when available. Arizona State University ... Operating Budget 2016/2017 Arizona State University ... state and local operating budget book 2014/2015, 2015/2016 Arizona State University Tempe/Downtown Phoenix/Polytechnic/West ... state and local operating budge t 2009/2010 - 2013/2014 Local operating budget : Tempe/Downtown Phoenix/Polytechnic/West 2008/2009 Local operating budget by organizational area 1997/1998 - 2007/2008 ASU Budget online The most current online information about ASU Budget can be found at cfo.asu.edu . ABOR, NAU, UA and Thunderbird (archives) Budgets online Arizona Board of Regents - Operational and Financial Review (OFR) NAU budget reports UA budget reports Thunderbird Archives libguide Contact the Thunderbird Archivist, listed in the guide for questions regarding the old Institute."
Is there a way to search for publications by ASU faculty?,https://askalibrarian.asu.edu/faq/177868,None,General instructions: Learn how to search for publications authored by ASU faculty: Citation Research and Impact Metrics Searching across multiple subject areas: Learn how to search across our ProQuest and EBSCOhost databases: Proquest Ebsochost Searching engineering publications: Learn how to search within Compendex & Inspec databases: Engineering Village Note: you may need to be logged into your ASURITE to access some of these resources.
How do I get technical help with ASU Library resources?,https://askalibrarian.asu.edu/faq/177541,None,"Technical help (ASU Library) If you are experiencing technical problems with any library online resource, such as broken links, catalog errors, database* problems, etc. and your attempts to troubleshoot the issue have failed, You can request help at: https://lib.asu.edu/systems/help . Sign in with your ASURITE ID and password Fill out and submit the form One of our technical support staff will respond via email to you as soon as possible. *For ""400 Bad Request: Request Header or Cookie Too Large"" errors when trying to access an article or database , please try the fixes listed in that FAQ before submitting a ticket."
I need to use the Introduction to University Research tutorial. How can I find it?,https://askalibrarian.asu.edu/faq/197327,None,"All of our ASU Library tutorials can be found on the Tutorials web page at: lib.asu.edu/tutorials And here are our links to the Introduction to University Research tutorial , along with the quiz and script! Tutorial Quiz Script"
"What is ASU Library’s Home Delivery Program, and how does it work?",https://askalibrarian.asu.edu/faq/423128,None,"The Home Delivery Program allows ASU students, faculty, and staff to request most physical ASU Library materials for delivery to their home address via FedEx shipping. For those on Native Lands or Rural Routes, materials are shipped through the United States Postal Service. Home Delivery service is available to ASU affiliates who live outside the Phoenix metropolitan/Maricopa County area but within the continental United States, Alaska, Hawaii, and Puerto Rico . Requesting items: When requesting ASU Library materials through the ASU Library website, please select ""Personal Delivery"" from the dropdown menu. Enter your complete home address for each item requested. Shipping details: ASU Library materials will be shipped by FedEx 2-day express shipping excluding weekends and Federal Holidays. USPS shipping averages approximately 5 business days. Q: What is NOT included in ASU Library’s Home Delivery Program? ASU Library Home Delivery is separate from the following services: Interlibrary Loan (ILL) Home Delivery – For ILL requests, visit: ILL Home Delivery . ASU Bookstore Rental Program – For rental inquiries, visit: ASU Bookstore Rental FAQ ."
How do I change my Interlibrary Loan pick up location in One Search and ILLiad?,https://askalibrarian.asu.edu/faq/203122,None,"For requests you make within One Search... Within the item record: If the system prompts you to Sign In, click: Sign In (Sign in with your ASURITE ID and password.) When you are signed in, scroll down to the Get It section . In the REQUEST OPTIONS section, click: Request ASU Copy Select a pickup location using the Pickup Location drop-down. (The selected pickup location applies to this request only.) To change your pickup location within your Interlibrary Loan (ILLIAD) account... Access your Interlibrary Loan (ILLIAD) account If the system prompts you to Sign In, click: Sign In (Sign in with your ASURITE ID and password.) On the menu bar of your ILLIAD page, in the Profile section: Click: Update Profile Choose one of the ASU Library locations from the Select a pickup location for Loan pickups dropdown list. At the bottom of the page, save your choice by clicking: Submit Information ( The selected pickup location applies to your requests, with the exception of items requested within One Search as detailed above.)"
"I see ""No records found"" in One Search after searching a very common topic. What's up?",https://askalibrarian.asu.edu/faq/207167,None,"If you searched for a keyword that should have yielded results (for instance, searching the keyword Arizona yields millions of records), here are a few things to try: Adjust your search: Check your spelling; replace abbreviations with the actual words they represent. Start with simple search term(s). Start broadly and then narrow your search. Search for partial titles with quotation marks around phrases if the full title doesn't work. Remove punctuation (commas, periods, hyphens, colons, semi-colons, etc.). Still not working? Switch to a different browser to see if that works. Is the Personalization feature turned on? Check the results page (above the section where results would usually show). Clicking the word ""Personalized"" will turn it off and reset it back to ""Personalize"". Clear your browser cache (Click the link to learn how to clear your cache.) Then try your search again . If that doesn't work, use the Get Help! feature on our Library Systems Support page. Be sure to include the following information: Which browser you were using (Chrome, Firefox, Internet Explorer, Safari). What computer operating system you were using. And tell us if you were using the ASU Library site from on campus or off campus when you noticed the problem."
How can a Data Management Plan (DMP) help me?,https://askalibrarian.asu.edu/faq/204197,None,"Data Management Plans help you... Manage and organize data with an emphasis on: Storage Security File formats Identifiers Naming conventions Provide detailed data documentation Consider which metadata standards to apply Share your data by depositing it in a repository Archive your data with backups and preservation strategies The DMPTool provides templates and guidance to help you write your plan! Click the DMPTool link Then click the ""Get Started"" icon And select “Arizona State University” as your institution from the drop down list. For additional information or help: Fill out the Library's research service request form to set up a consultation appointment! Watch our tutorials on: Using the DMPTool Research Data Management Basics"
How do I add people outside of ASU to manage my ASU Research Data Repository datasets?,https://askalibrarian.asu.edu/faq/335004,None,"With our current ASU Research Data Repository authentication process, only submitters with asu.edu emails can create an account. Anyone outside the university can view and access published collections (known as Dataverses), but cannot directly submit/deposit or manage the metadata. If you have members of your project outside of ASU, you can have them submit their datasets and documentation to a secure sharing space like Google Drive or Dropbox and then upload the files on their behalf. If more direct interaction is desired, ASU sponsors can request that collaborators get an “affiliate ID” (ASURITE) to access ASU systems. The ID expires after one year and has to be renewed by the ASU sponsor at that time. To sponsor and request an ASU ID for your collaborators, fill out the ASU Courtesy Affiliate Request - Add or Renew form . Additional workarounds for research teams may include using the Dataverse API , research notebooks like LabArchives , or the OSF as a collaboration platform, and connecting the OSF to Dataverse (which uses an API token). For information on adding co-owners, see our FAQ entry on adding users or co-owners to my datasets ."
What type of files can I upload to the ASU Research Data Repository?,https://askalibrarian.asu.edu/faq/335005,None,"The ASU Research Data Repository (powered by Harvard's Dataverse platform) is ideal for depositing and sharing research data and supports a variety of research data types and formats. You are welcome to upload research data, supplementary tables, documentation, publications associated with data, presentations, etc. The Repository supports the uploading of any file type, including shapefiles, images, Flexible Image Transport System files, and compressed files. However, to make use of the Data Explorer feature, you need to upload tabular data files (e.g., Stata, SPSS, R, Excel (xlsx), and CSV). Some files will generate an archival file format for viewing within the repository, but users will have the option to download either the original or archival version. See the Dataverse Platform User Guide for more information."
Where can I find a list of general ASU Library policies?,https://askalibrarian.asu.edu/faq/177559,None,"ASU Library Policies page (includes policies on food/drink, children in the library, sleeping in the library, media requests, and more!). Links to a few of our most requested policies: Library Conduct Employment at the ASU Library Donation of Library Materials"
Does ASU Library offer free Wi-Fi access?,https://askalibrarian.asu.edu/faq/177494,None,"There are two ASU wireless networks: ASU (Managed) - A restricted network for current ASU students, faculty and staff. Connect with your ASURITE ID and password, then accept the certificate. ASU guest - An open network for guests. Use the linked instruction to sign into the ASU Guest network For more information, please see the Campus IT Resources webpage."
How do I sign up for (or renew) my New York Times academic group pass?,https://askalibrarian.asu.edu/faq/233074,None,"ASU Library provides current students, staff, and faculty with complimentary access to The New York Times, including News, Cooking, Wirecutter, and select Games. Access is provided through ASU Single Sign-On (SSO). Eligible users must sign in with their ASURITE@asu.edu email address to access features such as mobile apps, NYT Cooking, and TimesMachine (PDF scans of issues from 1851–2002). Learn how to activate access and troubleshoot issues . Notes: Articles from 1923–1980 are limited to five per user per day. For searchable full-text historical coverage (1851–2021), use ProQuest Historical Newspapers . The Athletic , a separate sports journalism platform owned by The New York Times, requires a separate group pass activation and is also available to current ASU students, staff, and faculty."
Where can I view materials from Distinctive Collections?,https://askalibrarian.asu.edu/faq/219652,None,"Please use the Ask an Archivist communication feature to connect with our expert staff to start your research process. We will work with you to schedule an appointment at one of our reading rooms : the Wurzburger Reading Room in Hayden Library or, for Design-related collections, at the Design Special Collections Reading Room at the Design and the Arts Library on the Tempe campus. Appointments can be made to view collections from the Labriola National American Indian Data Center at Fletcher Library on the West Valley campus or in the Wurzburger Reading Room at Hayden Library."
Where can I get support for paying open access article publishing charges (APCs)?,https://askalibrarian.asu.edu/faq/208164,None,"ASU Library can provide waivers or discounts on APCs with certain publishers as a result of our partnerships and subscriptions. Additionally, we manage the ASU Open Access (OA) Publishing Fund, which supports ASU authors who wish to make their scholarly articles freely available immediately upon publication. All current ASU faculty, staff and students are eligible for funds, with a maximum award of $2000 per request. Applications to the fund will open in January 2026. For a complete current list of partnerships and the criteria and application instructions for the OA Publishing Fund, visit our Researcher Support open access publishing and support page. If making your work open access is important to you, you can publish in a traditional journal as long as you retain the rights to self-archive your work in a repository , such as our KEEP institutional repository or a disciplinary repository of choice."
Digital Arizona Library - DAZL,https://askalibrarian.asu.edu/faq/177476,None,"Online resources for residents of the State of Arizona, often available at no cost, from the Arizona State Library, Archives, & Public Records. Arizona residents may use the Digital Arizona Library (DAZL) at: https://www.azlibrary.gov/dazl For additional help, please contact the State Library of Arizona's reference desk at: 602-926-3870"
Where can I find information about requesting library materials or placing a hold on a library book?,https://askalibrarian.asu.edu/faq/177552,None,"When signed in to the Library system, the Request ASU Copy link will appear for requestable items. You can find information about requesting library materials or placing a hold on a library book through the following webpages. ASU Library ASU Law Students ASU Law Faculty Personal Delivery for current ASU Faculty, Staff and Students residing outside the Phoenix Metro Area"
Does ASU Library offer textbook rental services?,https://askalibrarian.asu.edu/faq/177864,None,"Generally, ASU Library does not purchase textbooks . For more information or to check availability, follow the links below. Check Library One Search Check this FAQ - Can I get textbooks for my ASU classes from the library? Note: You may be able to rent textbooks for your ASU classes from the ASU bookstore ."
"How do I cite a source in a specific format – MLA, APA, Turabian, etc.?",https://askalibrarian.asu.edu/faq/177870,None,Find information and links for common citation styles in the following library guide: https://libguides.asu.edu/citing
"How do I ask the library to purchase or subscribe to a new resource – book, ebook, journal, magazine, database, etc.?",https://askalibrarian.asu.edu/faq/177871,None,Want to ask the library to purchase or subscribe to a new resource? Suggest a new resource using our request / suggestion form at https://lib.asu.edu/services/request/suggest
Can I request textbooks through Interlibrary Loan?,https://askalibrarian.asu.edu/faq/210195,None,"Interlibrary Loan is available for borrowing items that supplement learning, teaching, or research, not for general course study materials such as textbooks. Due to the high demand of textbook titles both at ASU and other outside institutions, attempts to borrow current editions of textbooks normally takes longer and are frequently unsuccessful. Also, Interlibrary Loan due dates are short and will not cover a full semester use. Instead, we recommend purchasing or renting your textbooks."
How do I cancel an ILL request? How do I edit a request I already submitted?,https://askalibrarian.asu.edu/faq/268385,None,"Only requests with the status “Awaiting Request Processing” may be canceled or edited. To cancel/edit a request: Select the appropriate transaction number (TN#). Select ""Cancel Request"" or “Edit Request” in the top right corner of the page. For requests that have moved out of the status “Awaiting Request Processing”, please contact ILL staff for assistance at ASU-ILL@asu.edu ."
Does the ASU Law Library have its own Ask a Law Librarian service?,https://askalibrarian.asu.edu/faq/319027,None,"Yes. The Ross-Blakley Law Library home page includes links to their Ask a Law Librarian services - by phone (480-965-6144, email , meet and chat ! To learn more about what types of questions the Law Library can and cannot answer, check the Law Library's Reference Policies webpage."
Can I use Respondus Lockdown Browser on library computers?,https://askalibrarian.asu.edu/faq/359005,None,"Yes, the Respondus Lockdown Browser is installed on all public library computers at all of our library locations, as well as on computers managed at ASU computing sites. To access it, you need to follow these instructions : In the Windows Search bar in the bottom left corner of the screen, search for ""Lockdown"" (note: searching for ""Respondus"" will not work.) Click on the link for ""Lockdown Browser - Lab Edition"" A ""Choose Server"" pop-up window will appear - select ""Canvas at ASU"" from the drop-down menu. Log in with your ASURITE ID and password when prompted. Your browser should now be locked and you should see your Canvas courses. Navigate to the appropriate course and quiz/test. To exit the Lockdown Browser, click on the red X in the top right hand corner and answer the prompt as appropriate. Please note that all applications, including Lockdown Browser, are managed by the University Technology Office, not ASU Library. If you have questions or are experiencing technical difficulties using the Lockdown Browser, please contact the UTO Experience Center ."
How can I get help accessing or using Overleaf Professional LaTex editor?,https://askalibrarian.asu.edu/faq/384570,None,"For help with Overleaf Professional, please visit ASU Research Computing's workshop overview page , which includes office hours, Slack information, and a workshop schedule. You can also check out the Overleaf FAQ and Help page . Access Overleaf at www.overleaf.com/edu/asu#overview . About Overleaf at ASU The Knowledge Enterprise at Arizona State University with W.P. Carey School of Business, Fulton Schools of Engineering, and The College of Liberal Arts and Sciences provide Overleaf Professional for all faculty, students, and staff who want to use a collaborative, online LaTeX editor for their projects. Some benefits of the Overleaf product are that it is a collaborative tool, offers history and track changes features, has a common compiler for reproducibility, offers centralized cloud storage for files, and can be integrated with Dropbox and GitHub. Overleaf is commonly used for: collaborating on research papers, publications, and proposals production of professional-looking mathematical equations automated cross-referencing automatic formatting"
Does ASU offer resources for students with disabilities?,https://askalibrarian.asu.edu/faq/177489,None,Accessibility Resources ASU Library offers a variety of assistive software and equipment for our users. See our ASU Library Accessibility Services webpage for information.
What items can I request through interlibrary loan? What can’t I request?,https://askalibrarian.asu.edu/faq/206092,None,"You can request these types of items through interlibrary loan: Books Book chapters (up to 3 per book) Journal articles (up to 3 per journal issue) Government documents Theses and dissertations Some media (CDs, DVDs) Some ebooks These items are not available to request: Textbooks Items for personal/non-academic use Entire journal issues Some media (CDs, DVDs) Some ebooks There is no limit to the amount of requests you can submit.  However, we recommend that you only request materials you can use in a reasonable amount of time to avoid overdue fees.  Renewals are not usually available. For more information, contact the ASU Library Interlibrary Loan Department (Monday-Friday, 8am-5pm): (480) 965-3282 Email: ASU-ILL@asu.edu libguides.asu.edu/ill"
What is included in Distinctive Collections?,https://askalibrarian.asu.edu/faq/219658,None,"Rare or special materials that include manuscripts, books, photographs, media, ephemera, oral histories and artifacts from the following repositories: Chicano/a Research Collection Theatre for Youth and Community Collection Design and the Arts Special Collections Greater Arizona Collection Latin Americana Rare Books and Manuscripts Related collections include materials from the following repositories: Community-Driven Archives Initiative Labriola National American Indian Data Center University Archives"
"What if the scan I receive is incorrect, missing pages, or illegible?",https://askalibrarian.asu.edu/faq/404455,None,"Responding directly to your email notification or your service ticket will reopen the request. Please be descriptive in your response as to the specific issue, ensuring ASU Library staff can effectively resolve the issue. Also please note that ILL and digitization services cannot guarantee a pristine or printable copy. Microform sources are analog media formats and are lacking in features considered standard in digital media. Microform formats are fragile, easy to corrupt and mutilate resulting in sub-optimal reproduction. Photographic illustrations reproduce poorly in microform format, with loss of clarity and halftones. Storage and reproduction increase degradation of the film or card source over time."
How do I gain remote access to ASU Library online resources?,https://askalibrarian.asu.edu/faq/177538,None,"Remote access to ASU Library online resources is verified by the University’s Human Resource and Student Records and generally granted to: ASU employees Employees who are paid by ASU Human Resources . (Third-party contractors, consultants, and volunteer positions do not qualify for remote access.) Faculty Classified Staff / University Staff Academic Professionals / Service Professionals ASU Undergraduate and ASU Graduate students These students must be currently enrolled in at least one credit-earning course for a degree-seeking or for-credit ASU program. (Students who are members of an academic program, but not enrolled in any courses do not have remote access.) Undergraduate Students Graduate Students / Post Graduate Students Visiting Scholars Courtesy affiliates of ASU Designation by the provost so that non-faculty / students may access ASU services. (Membership in these groups does not guarantee courtesy affiliate status.) Arizona Board of Regents Barrett Summer Scholar Program GCC ASU Partnership Adjunct Faculty Retired Faculty / Retired Staff You will need to sign in with your ASURITE ID and password when prompted. Sign in with your ASURITE ID and password when prompted. From the ASU Library home page at: https://lib.asu.edu The SIGN IN link is located at the top right corner of the page From your MyASU account at: http://my.asu.edu ​ After you sign in to your MyASU account, Click on the Library icon (a stack of books) on the left side of your MyASU home page. The library's remote access policy is available at: https://lib.asu.edu/policies/remote-access"
